Course Title,Author,Origin,Completed,Hours,Minutes
Constructing a User Interface with Angular,David Mann,https://www.pluralsight.com,05/04/2019,4,35
Styling Angular Applications,Brian Treese,https://www.pluralsight.com,05/05/2019,1,54
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,03/30/2019,2,46
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,05/05/2019,2,46
Angular Forms,Mark Zamoyta,https://www.plur alsight.com,04/29/2019,2,3
Structuring Angular Applications with Angular Libraries,Fabian Gosebrink,https://www.pluralsight.com,04/23/2019,2,3
Play by Play: Angular and ngrx,Lars Klint and Duncan Hunter,https://www.pluralsight.com,04/22/2019,1,39
Angular Architecture and Best Practices,Dan Wahlin,https://www.pluralsight.com,04/21/2019,5,22
Play by Play: Insights from the Angular Team,Stephen Fluin and John Papa,https://www.pluralsight.com,03/31/2019,1,19
ASP.NET Core Fundamentals,Scott Allen,https://www.udemy.com,03/26/2019,5,49
Angular HTTP Communication,Brice Wilson,https://www.pluralsight.com,03/26/2019,2,26
LINQ Fundamentals with C# 6.0,Scott Allen,https://www.pluralsight.com,03/25/2019,4,23
C# Fundamentals with Visual Studio 2015,Scott Alen,https://www.pluralsight.com,01/24/2019,5,21
C# 6 from Scratch,  author: ',https://www.pluralsight.com,12/05/2018,3,7
C# Generics,Scott Alen,https://www.pluralsight.com,01/20/2019,4,20
C# Best Practices: Improving on the Basics,Deborah Kurata,https://www.pluralsight.com,01/07/2019,4,50
C# Best Practices: Collections and Generics,Deborah Kurata,https://www.pluralsight.com,01/03/2019,3,35
C#6 from scratch ,Jesse Liberty,https://www.pluralsight.com,07/15/2018,3,7
Angular Security Using JSON Web Tokens,Paul D. Sheriff,https://www.pluralsight.com,06/12/2018,2,50
Date and Time Fundamentals,Matt Johnson,https://www.pluralsight.com,04/30/2018,6,19
Angular Routing,Deborah Kurata,https://www.pluralsight.com,04/02/2018,4,48
Angular Component Communication,Deborah Kurata,https://www.pluralsight.com,03/07/2018,3,39
Angular Best Practices,Jim Cooper,https://www.pluralsight.com,02/18/2018,1,41
CSS Positioning,Susan Simkins,https://www.pluralsight.com,04/24/2018,0,50
TypeScript Fundamentals,John Papa and Dan Wahlin,https://www.pluralsight.com,03/29/2018,4,25
Working with Angular Animations,Gary Simon,https://www.pluralsight.com,04/09/2018,1,27
Building Beautiful Angular Apps with PrimeNG,Glen Smith,https://www.pluralsight.com,01/31/2018,3,8
Angular Reactive Forms,Deborah Kurata,https://www.pluralsight.com,04/29/2017,3,52
