Course Title,Author,Origin,Completed,Hours,Minutes,Completed
Angular (formerly Angular 2) - The Complete Guide,by Maximilian Schwarzmuller,https://www.udemy.com,04/27/2017,27,0,100
Constructing a User Interface with Angular,David Mann,https://www.pluralsight.com,05/04/2019,4,35,100
Styling Angular Applications,Brian Treese,https://www.pluralsight.com,05/05/2019,1,54,100
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,03/30/2019,2,46,100
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,05/05/2019,2,46,100
Angular Forms,by Mark Zamoyta,https://www.plur alsight.com,04/29/2019,2,3,100
Structuring Angular Applications with Angular Libraries,by Fabian Gosebrink,https://www.pluralsight.com,04/23/2019,2,3,100
Play by Play: Angular and ngrx,Lars Klint and Duncan Hunter,https://www.pluralsight.com,04/22/2019,1,39,100
Angular Architecture and Best Practices,by Dan Wahlin,https://www.pluralsight.com,04/21/2019,5,22,100
Play by Play: Insights from the Angular Team,Stephen Fluin and John Papa,https://www.pluralsight.com,03/31/2019,1,19,100
ASP.NET Core Fundamentals,Scott Allen,https://www.udemy.com,03/26/2019,5,49,100
Angular HTTP Communication,Brice Wilson,https://www.pluralsight.com,03/26/2019,2,26,100
LINQ Fundamentals with C# 6.0,Scott Allen,https://www.pluralsight.com,03/25/2019,4,23,100
C# Fundamentals with Visual Studio 2015,Scott Alen,https://www.pluralsight.com,01/24/2019,5,21,100
C# 6 from Scratch,  author: ',https://www.pluralsight.com,12/05/2018,3,7,100
C# Generics,Scott Alen,https://www.pluralsight.com,01/20/2019,4,20,100
C# Best Practices: Improving on the Basics,Deborah Kurata,https://www.pluralsight.com,01/07/2019,4,50,100
C# Best Practices: Collections and Generics,Deborah Kurata,https://www.pluralsight.com,01/03/2019,3,35,100
C#6 from scratch ,Jesse Liberty,https://www.pluralsight.com,07/15/2018,3,7,100
Angular Security Using JSON Web Tokens,Paul D. Sheriff,https://www.pluralsight.com,06/12/2018,2,50,100
Date and Time Fundamentals,Matt Johnson,https://www.pluralsight.com,04/30/2018,6,19,100
Angular Routing,Deborah Kurata,https://www.pluralsight.com,04/02/2018,4,48,100
Angular Component Communication,Deborah Kurata,https://www.pluralsight.com,03/07/2018,3,39,100
Angular Best Practices,Jim Cooper,https://www.pluralsight.com,02/18/2018,1,41,100
CSS Positioning,Susan Simkins,https://www.pluralsight.com,04/24/2018,0,50,100
TypeScript Fundamentals,John Papa and Dan Wahlin,https://www.pluralsight.com,03/29/2018,4,25,100
Working with Angular Animations,Gary Simon,https://www.pluralsight.com,04/09/2018,1,27,100
Building Beautiful Angular Apps with PrimeNG,Glen Smith,https://www.pluralsight.com,01/31/2018,3,8,100
Angular Reactive Forms,Deborah Kurata,https://www.pluralsight.com,04/29/2017,3,52,100
Introduction to Inverted Triangle CSS,by Jason Sauer,https://www.pluralsight.com,01/08/2018,1,33,100
Angular 2 Routing: Up And Running,BTree Press,https://www.udemy.com,03/17/2018,0,42,100
The Complete Sass & SCSS Course: From Beginner to Advance,Joe Parys,https://www.udemy.com,12/30/2017,4,0,100
Bootstrap 4 Quick Start: Code Modern Responsive Website,by Brad Hussey,https://www.udemy.com,04/06/2017,4,0,100
AngularJS Fundamentals,by Joe Eames and Jim Cooper,https://www.pluralsight.com,05/26/2019,6,51,100
Preparing for Migration from AngularJS (1.x) to Angular (2+), by Joe Eames,https://www.pluralsight.com,05/28/2019,2,53,100
Asynchronous C# 5.0,by Jon Skeet,https://www.pluralsight.com,12/07/2019,2,57,100
Creating Asynchronous TypeScript Code,by John Papa,https://www.pluralsight.com,12/22/2019,1,51,100
Creating Object-oriented TypeScript Code, by Dan Wahlin,https://www.pluralsight.com,12/23/2019,1,51,100
Using Specialized Types and Language Features in TypeScript, by Hendrik Swanepoel,https://www.pluralsight.com,12/29/2019,1,32,100
Creating and Using Generics in TypeScript,by Dan Wahlin,https://www.pluralsight.com,12/30/2019,0,49,100
Regular Expression Fundamentals,by Juliette Reinders Folmer,https://www.pluralsight.com,1/1/2020,1,33,100
Inroduction to Regular Expression (Regex),by Josh Duffney,https://www.pluralsight.com,1/1/2020,2,47,100
RxJS: Getting Started, by Brice Wilson,https://www.pluralsight.com,1/9/2020,3,4,100
Creating and Using TypeScript Decorators,by David Tucker,https://www.pluralsight.com,01/13/2020,1,13,100
Introduction to Inverted Triangle CSS, by Jason Sauer,https://www.pluralsight.com,01/22/2020,1,33,100
C# Fundamentals, by Scott Allen,https://www.pluralsight.com,01/23/2020,6,55,100
Color Theory Fundamentals,by Chris Davis,https://www.pluralsight.com,05/08/2020,0,32,100
Creating Responsive Pages with CSS FlexBox,by Jeff Batt,https://www.pluralsight.com,05/07/2020,1,21,100
